LANE,Car,Puj,UV,Taxi,Pub,Truck,Trike,Motorcycle,Tricycle,TOTAL
1 South_Westbound,250,0,0,10,3,0,0,220,0,483
1a South_Southbound_Uturn,51,0,0,6,0,1,1,138,0,196
2 South_Northbound,274,0,2,52,6,2,0,654,0,990
2a South_Northbound_Underpass,2422,0,1,80,7,40,1,2679,0,5230
2b South_Northbound_UnderpassBuslane,2,0,0,0,54,0,0,0,0,56
3 South_Eastbound,14,0,1,2,8,0,0,30,0,55
4 North_Eastbound,267,0,3,25,7,7,0,325,0,634
4a North_Northbound_Uturn,127,0,0,56,23,0,0,199,0,405
5 North_Southbound,853,0,0,48,0,8,0,1101,0,2010
5a North_Southbound_Underpass,947,0,0,31,0,22,0,929,0,1929
5b North_Southbound_UnderpassBuslane,9,0,0,0,69,0,0,9,0,87
6 North_Westbound,28,0,0,0,0,0,0,11,0,39
8 West_Eastbound,731,175,7,118,12,16,0,1316,12,2387
9 West_Southbound,48,0,0,6,2,1,0,136,0,193
11 East_Westbound,922,204,2,96,2,14,0,1494,9,2743
12 East_Northbound,141,0,0,37,4,1,0,229,0,412
TOTAL,7086,379,16,567,197,112,2,9470,21,17849
