LANE,Car,Puj,UV,Taxi,Pub,Truck,Trike,Motorcycle,Tricycle,TOTAL
1 South_Westbound,3593,0,39,249,36,21,0,3693,1,7632
1a South_Southbound_Uturn,807,0,1,148,27,6,0,1416,0,2405
2 South_Northbound,3347,1,185,1157,91,48,0,6681,0,11510
2a South_Northbound_Underpass,34978,0,1,1219,79,734,12,27471,0,64494
2b South_Northbound_UnderpassBuslane,58,0,0,1,688,5,0,166,0,918
3 South_Eastbound,268,1,11,36,140,2,1,554,0,1013
4 North_Eastbound,2941,0,8,574,76,46,1,4092,0,7738
4a North_Northbound_Uturn,1772,0,0,749,337,14,0,1818,0,4690
5 North_Southbound,11544,3,5,1087,36,150,4,18711,0,31540
5a North_Southbound_Underpass,10075,0,1,229,11,231,5,15009,0,25561
5b North_Southbound_UnderpassBuslane,60,0,0,0,788,0,0,108,0,956
6 North_Westbound,417,0,0,78,1,10,0,563,0,1089
8 West_Eastbound,8754,2415,60,1310,92,240,0,14456,89,27416
9 West_Southbound,865,0,0,256,26,11,0,1389,1,2548
11 East_Westbound,10348,2446,40,1067,76,217,0,14187,94,28475
12 East_Northbound,1845,0,0,728,22,25,0,2584,1,5205
TOTAL,91672,4866,351,8888,2526,1760,23,112898,186,223190
