agent_type,episode_timestamp,step,previous_phase,duration,action_taken
dqn,2025-10-16T18:05:45.334531,5,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,10,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,15,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,20,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,25,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,30,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,35,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,40,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,45,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,50,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,55,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,60,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,65,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,70,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,75,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,80,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,85,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,90,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,95,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,100,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,105,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,110,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,115,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,120,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,125,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,130,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,135,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,140,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,145,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,150,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,155,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,160,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,165,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,170,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,175,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,180,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,185,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,190,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,195,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,200,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,205,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,210,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,215,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,220,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,225,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,230,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,235,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,240,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,245,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,250,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,255,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,260,0.5,5,SWITCH
